,Area,What is your age?,What is your gender?,"space for walking/cycling, restricting parking/closing streets near schools",Space in city centre for walking and/or cycling,"New signed ‘quiet connections’ for day to day cycling, with road closures to reduce traffic.",Most often,2nd most often,3rd most often,Most often.1,2nd most often.1,3rd most often.1,how many cars or vans (own or company cars/vans) are available to members of your household?
428,3,6,2,1.0,1.0,1.0,Car,Walk,None,Car,Walk,Bus,2.0
429,3,4,1,5.0,5.0,5.0,Bus,Walk,Car,Bus,Walk,Car,1.0
430,4,5,2,4.0,5.0,3.0,Walk,Bus,None,Walk,Bus,None,0.0
431,4,2,1,1.0,5.0,4.0,Bus,Taxi/Private hire car,Walk,Other,Taxi/Private hire car,None,2.0
432,5,6,1,4.0,4.0,3.0,Car,Walk,Bus,Bus,Walk,Car,1.0
434,4,4,2,4.0,4.0,4.0,Bus,Car,Walk,Bus,Walk,None,1.0
435,2,5,1,5.0,4.0,4.0,Bus,Walk,Car,Bus,Walk,Car,1.0
436,1,1,1,5.0,4.0,4.0,Walk,Cycle,Car,Car,Bus,Cycle,2.0
437,5,5,1,5.0,5.0,5.0,Walk,None,,Walk,Bus,None,0.0
438,3,6,1,3.0,2.0,2.0,Walk,Car,Bus,Walk,Car,Bus,2.0
439,2,6,1,4.0,1.0,3.0,Car,Walk,None,Bus,Tram,Walk,2.0
440,3,5,1,4.0,1.0,1.0,Car,Walk,None,Bus,Car,Walk,2.0
441,1,4,1,4.0,4.0,3.0,Walk,Bus,None,None,,,0.0
442,1,6,2,4.0,5.0,1.0,Walk,None,,Walk,None,,1.0
443,3,6,1,5.0,5.0,5.0,Car,Cycle,None,Car,Cycle,Bus,1.0
444,2,4,1,4.0,5.0,5.0,Walk,None,,Walk,Bus,None,0.0
445,1,7,2,4.0,4.0,1.0,Cycle,Car,None,Cycle,Car,Bus,1.0
446,1,2,2,3.0,4.0,3.0,Walk,Bus,None,Walk,Bus,None,0.0
447,2,5,2,5.0,3.0,2.0,Walk,Bus,None,Walk,Bus,None,0.0
448,4,3,2,4.0,4.0,2.0,Walk,Bus,None,Walk,Bus,Car,1.0
449,3,2,1,5.0,5.0,4.0,Walk,Bus,None,Bus,Tram,Walk,0.0
450,1,3,2,4.0,4.0,3.0,Walk,Car,Bus,Bus,Walk,Car,1.0
451,4,3,2,4.0,1.0,3.0,Walk,Car,Bus,Bus,Walk,Car,1.0
452,4,1,1,5.0,5.0,4.0,Walk,Car,Bus,Walk,Car,Walk,2.0
453,4,6,1,5.0,5.0,5.0,Car,None,,Bus,None,,1.0
